count,HR,DY,pas_count,avg_trip_dist,avg_trip_time
28106,18,2013-06-14,1.7349320429801467,2.6182366754429682,845.4771579022273
5879,2,2013-06-12,1.6570845381867665,3.335324034699777,613.9976186426263
19231,22,2013-06-23,1.7299672403931152,3.379974000311999,704.0024439706724
21317,10,2013-06-24,1.6763615893418398,2.732243749120422,804.2288783599944
26525,9,2013-06-26,1.6414703110273328,2.424258623939685,822.3430348727616
16576,1,2013-06-28,1.7279198841698842,3.781290419884169,680.7795608108108
30790,20,2013-06-28,1.7541734329327703,2.6443988307892208,723.4443000974343
12074,6,2013-06-28,1.6067583236706973,3.409937883054495,596.5883717078019
22771,14,2013-06-17,1.7101576566685697,2.8749830925299698,831.6952702999429
25686,12,2013-05-21,1.682550805886475,2.6144588491785434,911.7657478782216
17865,17,2013-05-23,1.6989644556395187,3.2002401343408904,1250.6725440806044
30943,21,2013-05-22,1.7062663607277897,2.8863264712535894,687.4338622628704
4340,2,2013-05-20,1.6541474654377881,3.8399470046082937,628.5138248847926
23578,13,2013-05-31,1.6863177538383238,2.8709470693018906,918.2568496055645
25214,7,2013-01-25,1.610573490917744,2.599752121837076,634.2254699769969
19916,20,2013-01-27,1.7345852580839527,3.0542076722233356,625.0821952199237
22721,2,2013-02-10,1.809383389815589,2.970509220544866,677.0814224726024
13682,1,2013-02-08,1.7202163426399648,3.130088437362961,623.5918725332554
24759,10,2013-02-08,1.6488953511854276,2.2911676562058254,717.4763520336039
5626,5,2013-02-08,1.5929612513330964,5.293860646996097,709.0250622111624
3270,4,2013-02-07,1.6131498470948011,4.420348623853209,655.0544342507645
18735,23,2013-02-05,1.6957032292500667,3.2136920202828954,655.6104617026955
3155,2,2013-02-05,1.6269413629160063,3.6175435816164807,625.3686212361331
24015,10,2013-02-05,1.6061628149073495,2.3889173433270883,788.6699146366853
32755,19,2013-02-05,1.6715310639597007,2.421013891009009,654.7930087009616
4054,2,2013-02-06,1.6591021213616182,3.2059299457326085,599.2412432165762
24724,14,2013-04-10,1.68718653939492,2.87347961494904,853.0065523378095
20689,16,2013-04-22,1.6970854077045774,2.8145391270723565,730.9101454879404
23484,20,2013-07-03,1.7528530063021632,2.763119570771593,701.3607988417646
27005,18,2013-12-18,1.6988705795223107,2.5418018885391582,945.6245139788928
29667,23,2013-12-19,1.7346209593150639,3.409441804024674,773.0003033673779
26310,17,2013-04-23,1.6997719498289623,2.5409061193462557,747.263055872292
3369,3,2013-04-24,1.6613238349658652,3.513748886910059,611.9786286731968
13398,6,2013-05-09,1.5705329153605017,3.1481161367368284,611.3228093745336
12355,6,2013-05-13,1.5785511938486443,3.3931719951436636,636.6435451234319
15635,23,2013-05-19,1.7125679565078349,3.734557723057247,665.6438759194116
25907,17,2013-04-01,1.7133593237348979,2.7267638090091464,736.6994248658664
11905,6,2013-04-02,1.571692566148677,3.246221755564894,574.7664006719866
17729,22,2013-04-07,1.708500197416662,3.522927971120766,654.9627164532686
25507,10,2013-02-01,1.6253185400086252,2.3424209040655475,744.5743913435527
25488,12,2013-10-27,1.7295982423101066,2.881919726930323,711.9818345888261
20140,16,2013-10-27,1.7649950347567032,3.6047701092353512,888.5592353525323
8119,1,2013-01-17,1.668801576548836,3.1998472718315076,593.5795048651312
7984,1,2013-01-16,1.6742234468937875,3.1272369739478996,613.9775801603206
4165,5,2013-01-15,1.5018007202881152,4.498710684273714,636.5169267707083
22107,22,2013-03-18,1.7001402270773962,3.1552368028226283,763.3467679920387
32210,19,2013-03-18,1.6744489289040672,2.3568782986650083,710.58410431543
22034,12,2013-03-25,1.6962875555958972,2.51447444857947,697.0255514205319
34090,23,2013-10-05,1.8444705192138457,2.7989457318861852,751.9664711058962
18831,3,2013-10-06,1.8022409856088364,3.3685869045722407,672.5542987626785
11821,6,2013-07-30,1.5606970645461467,3.1138896878436677,567.4991963454869
21615,12,2013-07-30,1.686236409900532,2.4464223918575043,826.3472588480222
11119,4,2013-06-23,1.7969241838294812,3.724572353628918,667.05342207033
22424,17,2013-06-23,1.7806368176953264,3.3537624866214797,773.4632090617196
23242,7,2013-06-03,1.6008949315893641,2.8075570088632595,741.3007056191377
25674,19,2013-12-27,1.8380462724935733,2.640126976707955,763.5250837423074
6637,3,2013-02-15,1.7271357541057706,3.504548741901462,637.0209431972277
19605,7,2013-03-27,1.5880642693190512,2.7401973986227977,612.7461871971436
22400,13,2013-07-31,1.6982142857142857,2.7361968749999988,899.1870535714286
25462,8,2013-07-31,1.6172727986803865,2.5118934097871324,781.5217971879664
29561,19,2013-07-30,1.7147593112546937,2.5331829099150904,671.4160211088935
26732,20,2013-07-30,1.700022445009726,2.781092697890171,630.3870641927278
23287,15,2013-10-23,1.6812814016404003,3.000633400609788,918.3063082406493
12008,6,2013-10-23,1.5211525649566955,3.177267654896738,604.993254497002
21596,10,2013-10-22,1.6253472865345435,2.559876365993695,849.7480551954066
31685,18,2013-10-23,1.67265267476724,2.5278797538267344,837.9318605018148
19356,16,2013-04-24,1.703657780533168,2.8012616243025414,824.6427980987808
20708,23,2013-12-16,1.696252655978366,3.23380239520958,671.1302395209581
23077,12,2013-12-16,1.6454045153182824,2.612702690991035,900.9923733587555
11824,6,2013-01-11,1.5257949932341002,3.1730911705006783,573.0504059539919
23333,15,2013-01-09,1.6803240046286376,2.719909998714267,737.9580851155016
32740,22,2013-05-02,1.7424557116676849,3.0821035430665815,698.584025656689
22458,13,2013-11-19,1.6318461127437884,2.7422851545106406,893.1398165464423
26961,20,2013-11-18,1.6546493082600793,2.985416713029922,653.1984718667705
10348,0,2013-11-19,1.6455353691534595,3.374777734827985,623.9914959412447
2665,3,2013-11-19,1.6938086303939963,3.7079399624765483,620.644277673546
16905,16,2013-06-12,1.6939367051168293,3.1280177462289274,1016.3007394262053
17965,19,2013-07-04,1.866685221263568,2.557254661842475,605.9472863902032
4421,4,2013-07-05,1.7742592173716354,4.017011988237954,652.5480660484053
19027,15,2013-07-05,1.7949230041519946,2.822671992431808,700.2994166184895
